Frame,X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,Action
76,805.3448409033704,478.74071988215803,732.7506139348995,512.6679562403259,777.4336746732572,373.51340196549387,690.4047841742979,425.55115557360944,
77,805.0395778643448,478.70762018868135,732.4839169668224,512.6139801291561,777.055305346345,373.5848401131633,690.08642441142,425.6045060853767,
78,804.5012571991061,478.98038489994474,732.1394853509786,512.7690737224885,776.5962433289715,373.76739059211354,689.8594488798784,425.74223572524147,
79,803.928974959894,479.02148165476933,731.7236086476695,512.7480179666103,775.8935940971822,373.94081586419856,689.4929820447766,425.9314246856601,
80,803.5797063478799,478.9648692252956,731.3212256268481,512.7614437641577,775.505895842308,373.778760777756,688.9371025263233,425.74051258212756,
81,803.0490850704421,479.07056244390276,730.9373428747024,512.6865481715231,774.8786119618264,374.0160090066767,688.7355088386522,425.6929581369515,
82,802.6167408918368,478.9603519137083,730.6820232980439,512.6231030726328,774.4824963490202,373.82986072291044,688.2644456512327,425.5719003581502,
83,802.2661463068395,478.85998719173983,730.4250991095565,512.5286486308999,773.9998607981355,373.90233061204043,687.8841569056128,425.7377327895771,
84,801.9944328355393,478.8140352024435,730.1896129091364,512.469978548744,773.6842813959731,373.709326678903,687.6897055085158,425.6617968747602,
85,801.7094041542778,478.8736971847993,729.994053886614,512.650549338282,773.3486039383353,373.75473732266283,687.6012676577786,425.5409342403473,
86,801.6954887778512,478.8773629219159,729.8657517298639,512.6446449736061,773.3028161427214,373.89780359184215,687.3282989194338,425.99669558644905,
87,801.7765345925354,478.87106962995927,729.9765451223191,512.721246035881,773.140794818336,374.0761682739748,687.4723696935442,426.11418869811575,
88,801.6717842235818,479.0667427933675,730.0121268577366,512.7914840592304,773.0048756483751,374.1540770863595,687.4007397106157,426.14214624897727,
89,801.7445975099741,479.0893876341632,729.9640498991123,512.8764141620823,773.0441336964185,374.36190943896395,687.3979758360341,426.2976816204851,
